"","photo_id","tienda_id","caption","label","length","stars","len_word"
"34","-bV_HB4CMwojD4rbyfXrAA",NA,"greek salad","food",18,2.5,2
"35","-cUw8UAd7NCHXL-ToYUH0A",NA,"golden roll","food",11,3.5,2
"36","-dHBh7-bhe8494HD6mscvQ",NA,"orange beef","food",11,3,2
"37","-f9v7i9HQFfaDqol7aAyOg",NA,"style garlic shrimp","food",30,4.5,3
"38","-gDXknWRlsAZmq10oq69GQ",NA,"rainbow roll","food",35,4,2
"39","-gPSTNo25m4ZkbAqiOXDLw",NA,"caramel crunch hot chocolate","food",34,3,4
"40","-gS2OvkmqqeUxPuIbhz19A",NA,"bbq pork steamed bun","food",21,2.5,4
"41","-gvBAevYf2reeh0KJcLwIg",NA,"beef mini hot dog","food",23,4,4
"42","-gwHDeJdiKLF8RGKDFrsJw",NA,"poached egg food","food",114,3.5,3
"43","-hM1LkhIysNGZ2pKLZ5S-Q",NA,"pork belly steam bun poke house","food",48,3.5,6
"44","-hd-ego-7wHifoDWgEa-Zw",NA,"rice noodle thai style","food",30,3.5,4
"45","0-eUmjM_IztbobWa8krfCQ",NA,"big chicken salad served extra dressing","food",132,3.5,6
"46","0-rBFAYMTvYMiE-YJw0eXg",NA,"ham egg","food",20,4.5,2
"47","00_lq0d8EQOPkRsKpE7g9g",NA,"californium style burger italian beef combo","food",62,4,6
"48","012RXHbE95eWfazSLd014g",NA,"chicken rice","food",29,3.5,2
"49","022VB-SyUQP_QFBZRp_gnw",NA,"gluten free cooky raspberry chocolate ice cream","food",69,4,7
"50","04SmHE-GRRcwfZq63omAzQ",NA,"thai fried rice chicken","food",25,4,4
"51","04ZVG5M2C2bBuzomywOeoA",NA,"pork chop sweet potato fry","food",33,4,5
"52","053JQh7XdJNCFTCMUHWgDQ",NA,"noodle minced pork peking sauce","food",55,3.5,5
"53","05Rme0D-DGeRTvV-1X0s8Q",NA,"egg pulled pork mushroom shot mango smoothie fresh fruit","food",92,4.5,9
"54","06C1SYI1_3zvCOBDUleS6A",NA,"duck pork belly bun","food",30,4,4
"55","06W8PdGrVvsQmC4N4pZjCA",NA,"rainbow roll","food",18,4,2
"56","06YGBhPjn0A5niMZYNGWDw",NA,"sunny egg hash crispy porchettum onion hot sauce","food",92,4.5,8
"57","06_fuW7ltSQjyPEqSoIxQw",NA,"meat sandwich","food",52,3.5,2
"58","06kDpuO3zy1eAK3OBZTonA",NA,"pineapple fried rice","food",20,4.5,3
"59","077p2c-KSGh_dXMmCjVOkw",NA,"beef noodle soup vietnamese flavor","food",85,4,5
"60","07A5uSwHuVzZo_2gGKfHHg",NA,"beef sashimi pork belly appetizer yummy","food",50,4,6
"61","07D2tFemfdudLDq8yJ3GEg",NA,"purple potato red chocolate chip monster cookie","food",84,4.5,7
"62","07r8ORRUEbDyQcYjhf8EeQ",NA,"vanilla plu chocolate almond","food",60,4.5,4
"63","080HSPBmwqt7bkMKJT294g",NA,"tasty sandwich","food",35,4,2
"64","089VKFNMjwk7a9km0Hd8gg",NA,"spiced apple tart almond ginger gelato caramelized white chocolate","food",87,3.5,9
"65","08FJb6ISkzzK2Dud1GSrAw",NA,"shrimp stuffed","food",40,4,2
"66","08WkK8WgT28D2UEshhObvA",NA,"greek salad","food",15,4,2
"67","08eJSFvTCSBDiOPigFdinQ",NA,"chowder fry lobster roll","food",30,3.5,4
"68","08nBi6jColn3JZannsS4rQ",NA,"bbq chicken sandwich","food",20,5,3
"69","094jWUHY5ZnNnYh6fiO_1g",NA,"grilled egg","food",34,3.5,2
"70","09IBYP8kA8h-iBcCyldMuA",NA,"shrimp orlean french bread sandwich little","food",127,4,6
"71","09WxHQPfxJn3ruMxXOX4WQ",NA,"fetum berry salad","food",16,4.5,3
"72","09vgc4VZdacHEgJRGgbSzw",NA,"chorizo hash egg","food",45,3.5,3
"73","0AuP1rwvqbblOAWrmZnUIQ",NA,"salad","food",5,3,1
"74","0BNS6TsQSgs1Tww6hdn3sA",NA,"breakfast","food",39,2,1
"75","0BlMTHo_pTRi6vSXCzyKzQ",NA,"organic kale salad","food",25,4,3
"76","0C8hlnLk4GWKF8CwVMxh2Q",NA,"beef pancake steamed dumpling","food",46,4.5,4
"77","0CkPVxBXWQ1ABmwd0WR0MQ",NA,"crunchy shrimp roll tempura","food",46,4,4
"78","0DLWzbR2aImVT3kCEFgTgA",NA,"egg benedict","food",14,3.5,2
"79","0DyegxWN0pdIaBjEV6wmZQ",NA,"shrimp chip fish curry mango sauce","food",79,4,6
"80","0FJ8dZnWCMRGNdsgPJTQgg",NA,"chicken shrimp beef","food",34,3.5,3
"81","0FZXe8_lEeFKvcSEMhIJyw",NA,"roll","food",17,4.5,1
"82","0FxJ03OpULDHkf3QYcLGhA",NA,"banana chocolate hazlenut crepe breakfast","food",41,3,5
"83","0G1nItOZwbh9dtrBElqw7Q",NA,"burrito breakfast sunday","food",81,4.5,3
"84","0GSeQtVDEVvCPa5obzy-Mg",NA,"small potato salad","food",24,4,3
"85","0Gf8M3I4b-Z34kwnlqdWPw",NA,"roll sweet chili sauce","food",35,4,4
"86","0H2ib2HkuqgVfN7VxVd3Og",NA,"bacon avocado sandwich","food",33,4,3
"87","0H7afo41pR6uPGldeOj6pA",NA,"egg crab cake classic breakfast","food",66,4,5
"88","0HKTF6ghED2FJepPQehrnw",NA,"mixed salad","food",17,3,2
"89","0HRzZ56b_wZJfmYxqhGAMA",NA,"spaghetti spicy clam shrimp lobster crab calamari","food",96,3.5,7
"90","0HV3cvwUqsSu6gSufvRLWQ",NA,"treat chocolate","food",38,4,2
"91","0HZ_Y3Qlb-Zedtt28Fio0A",NA,"plate rice","food",22,4.5,2
"92","0HddZO4Rlg3kUPrztYt6HQ",NA,"mixed beef hot sauce plu","food",83,3,5
"93","0IK1NnAEmGOj4_1oyDyH7A",NA,"scallop shrimp","food",22,3.5,2
"94","0ISko3tRyqt_tlNpKeThoQ",NA,"scrambled egg sausage cheese onion","food",83,4,5
"95","0IXVQKdEHsYEHH_aMQ-84g",NA,"chicken salad fresh dressing","food",68,4,4
"96","0J2IjeY5ThZLvwv3_xGuBQ",NA,"chicken pesto sandwich homemade chip","food",43,3,5
"97","0JAUNPsMfe-M0IoOpZqTGA",NA,"sandwich fry","food",23,3.5,2
"98","0JD9IDDUMFJBJ8aYK80GCQ",NA,"soft tofu beef kimchi stew plu dish","food",49,4,7
"99","0KbrUUFbJZLP2uT3d9FXbA",NA,"egg benedict fried tomato sausage","food",75,4,5
"100","0L1oaGKSS8DBDGWy4-6qaA",NA,"bolognese house egg traditional pea","food",115,3.5,5
"101","0L2dOBTjEJjIj8RCzWUGtQ",NA,"spicy pork dish","food",38,3.5,3
"102","0LcTVf8lHfnXFcI54nAYbA",NA,"pork","food",12,4,1
"103","0MqCuD1BxV0JT5kxXxeIyg",NA,"style papaya salad spice flavor tongue","food",103,4,6
"104","0Mv7980uGKgkpFUCR4OnPQ",NA,"veggie dragon roll vegetarian","food",98,4,4
"105","0My_k-jqst_adeSRvzH2Ew",NA,"sausage egg cheese","food",21,4,3
"106","0O5UY-eiJtboIDK5BNQ-vg",NA,"pork tenderloin","food",15,4,2
"107","0OWIPQJZyptnvsDqKMIw-w",NA,"corn beef hash","food",14,4.5,3
"108","0Oe4vLRCNfy21zYcOZbIbw",NA,"pork belly bun","food",15,3,3
"109","0OmZgmSCP9LMuukHc5bbZw",NA,"infamou egg","food",21,4,2
"110","0PbWWNSNEyjv6MsRNNuTHw",NA,"salad","food",12,4.5,1
"111","0PfHUnTTavpXVXtk_0V62A",NA,"pastor salad","food",15,3.5,2
"112","0PntExvEO3tt-gnHedwQug",NA,"braised pork bone rice noodle","food",29,4,5
"113","0QCfYNLIflTTWMt_a2w-8g",NA,"beef pad thai","food",13,3.5,3
"114","0QIRX3AJ0iRY6alYvkFeWA",NA,"breakfast","food",13,3.5,1
"115","0QeVgAq5uLmaE9xIZSt_6g",NA,"fresh deliciou sweet tomato salad appetizer lunch portion","food",99,4,8
"116","0Ql2R3DoqKvADMGJUM5hYw",NA,"beef shawarma sandwich","food",22,5,3
"117","0Qx2TmAYZhVqZFxEKipdWw",NA,"home roll cake","food",20,4,3
"118","0RnICiqj41c6diriBvUoXA",NA,"lunch combo spicy pork","food",28,3.5,4
"119","0SBRLHQtNJl1xzMdBwlgSQ",NA,"chicken shrimp vegetable","food",35,2.5,3
"120","0SOvSufcPkIGsizDUXOKNA",NA,"breakfast sandwich bacon fried steak","food",70,4,5
"121","0SbVb5cKfZbqYWE8js9Ylg",NA,"buttermilk crispy chicken sandwich extra meal","food",62,1.5,6
"122","0ScT8KLx7IDTD87ZsODuyA",NA,"tasty lemon salmon tiger roll","food",32,4.5,5
"123","0SgEQqUD4h6U_NUWioKItQ",NA,"californium roll","food",17,4,2
"124","0ShmZE91pNO1NKM9NT59aQ",NA,"rainbow roll","food",12,4,2
"125","0THq5lqTiOt2cbckodZHwg",NA,"sushi roll platter","food",18,4,3
"126","0TukVRcNkwBYjaoRqjU8BA",NA,"popcorn chicken rice","food",25,3.5,3
"127","0Uq5yD0gapnE7Ie2QVwdXw",NA,"rice chilled tofu iced japanese tea house pick","food",89,3.5,8
"128","0Uyd2LYw1Kg9OVYPOFCElQ",NA,"special beef","food",45,3.5,2
"129","0WDCKEwNc-qwVIRt0uLSfg",NA,"roll salmon","food",62,3.5,2
"130","0WEM3KzBtwBq21232FDDwQ",NA,"pierogy steak egg","food",47,4,3
"131","0WLmgVQugAEzqMWGX2gKxw",NA,"pancake breakfast","food",17,3,2
"132","0WStWnSJ7kxD9n45MeN3Xg",NA,"bird milk roll condensed chocolate yellow cake","food",55,4,7
"133","0WeLhy4y-jQnHKT7_MwJZA",NA,"pork noodle soup tea","food",48,3.5,4
"134","0WenOS3PnyIhAV6cLpAGcw",NA,"shrimp","food",14,4.5,1
"135","0XLNgqrt1WFbjhl-Mln_yw",NA,"sweet sour pork","food",19,2.5,3
"136","0Xgy91qHBGJ0oTIEPlPStw",NA,"crispy brussel lemon chili rice order","food",120,4.5,6
"137","0XiGLCx7O9QlBO1oiB5PVA",NA,"egg duck sweet italian sausage","food",60,4.5,5
"138","0YAec6HCGTnEK7LIWj7dXg",NA,"bacon omelette breakfast potato","food",38,4.5,4
"139","0YjAa6q2aWxvKRP2lOCDcg",NA,"pork belly lettuce tomato","food",36,4,4
"140","0YskgAKBGstOW3xHKRFgyQ",NA,"shrimp","food",43,4,1
"141","0ZR5ySDRFrbEmXa9-H2lNA",NA,"tonkatsu mild egg pork belly bowl","food",42,4,6
"142","0_0iA9k99QCZJuazdMyGIA",NA,"salad","food",10,3.5,1
"143","0_K-f9iffTrFZdIsOdDLgg",NA,"chocolate souffle cake","food",79,3.5,3
"144","0_eSe2rh95vi0T0Jc0KZ7w",NA,"beef pear","food",21,3,2
"145","0_hcoUAQe1Cq3x6iK_4Hzw",NA,"chicken salad","food",13,4.5,2
"146","0_wsuJS90cTvuNeq91gE9A",NA,"grilled pork banh","food",23,4.5,3
"147","0bUFjrNl4w1V9Z2M1TUTVQ",NA,"shrimp scallop","food",26,4,2
"148","0cJ7VBx4BSQXW20N-qjhcw",NA,"rice vermicelli curry","food",46,4.5,3
"149","0d2NLurNF6-gpdXmtO73yw",NA,"heart breakfast atlantic smoked salmon","food",49,3.5,5
"150","0d9RXYm_ogeI_ip1mptJeA",NA,"chocolate piece","food",56,3,2
"151","0dEWN07WhuxvHjT-uY3Opw",NA,"egg waffle tea ice cream","food",51,4,5
"152","0dGCQWywnbG4lpeY17PE8g",NA,"asparagu fried egg","food",23,4.5,3
"153","0dWsXGhcY_7vUBKotPkxzg",NA,"big burger caesar salad","food",54,3.5,4
"154","0dc-gocAubRJMkfHROFHag",NA,"torched red snapper unagi shrimp","food",50,4,5
"155","0dgrMgGbSvgPY1vdz1mlig",NA,"tenderloin sandwich","food",19,3,2
"156","0dxCP75dwJozDmhlVKeVsw",NA,"chocolate orange topping cake","food",46,4,4
"157","0dytDeFAlh3BXlIzWS6vTw",NA,"sea beef wellington lobster tail","food",68,4,5
"158","0e95mE6Mx4-Y-wnI7kIGcA",NA,"crunchy roll","food",13,4,2
"159","0fdQx-Gd1qolfrCZZFeH-Q",NA,"sticky rice meat","food",32,3,3
"160","0g4wg9XC6YYH8Hni0hgFxw",NA,"sesame tuna rice vegetable","food",47,4,4
"161","0g9RDEwqwyUk1GNVUvy_pg",NA,"spam egg rice toast","food",26,3.5,4
"162","0gMCpS8PiPEnTPlbF8N-DQ",NA,"sandwich smoked salmon","food",37,4.5,3
"163","0hGjC8pGOEx7qBgLCW5NDA",NA,"mango crepe roll","food",16,4.5,3
"164","0hJPFrSq8Sh-I-KSVZLN-w",NA,"turkey sandwich medium little leg","food",79,3.5,5
"165","0hYzlcmDApLCZ0C6odxOuQ",NA,"spinach artichoke ham cheese strawberry lemon banana chocolate crepe","food",76,3.5,9
"166","0hZd5DRVr_9qBUOPwB0tqg",NA,"brunch egg benedict","food",21,3.5,3
"167","0hkomObOUJTfAmqumzM6gQ",NA,"mediterranean chicken salad","food",27,4,3
"168","0iX41EEA7t9KYmoI7Wk7aA",NA,"roll crab pork belly bao bun","food",67,4.5,6
"169","0iYqf4h8rCRvewcl9Ig0GA",NA,"cannoli crispy pastry orange cream filling chocolate chip classic","food",134,4,9
"170","0jfktN7W9RYrHZllr_S3cg",NA,"chopped salad","food",13,4.5,2
"171","0k2HgFR7FdOxgl0tBGHJng",NA,"pizza chocolate fudge cake","food",48,3.5,4
"172","0k6HuyNNF3NjMUEcOJzwew",NA,"shrimp pork dumpling bun","food",41,3.5,4
"173","0kgStQCz0zNp05gQfppmBw",NA,"roll","food",43,4.5,1
"174","0lFmNUcWKpbZqUe4trxT5Q",NA,"dark chocolate mousse torte raspberry couli","food",63,4.5,6
"175","0lIe-5PXlJ7_Vo-lLvmf1w",NA,"chocolate cherry","food",28,3.5,2
"176","0lbbjmwhj2L_DgHa8HDceA",NA,"crispy beef special","food",25,3.5,3
"177","0m39bgxIu-4J0IhojI0tKg",NA,"rice","food",12,4.5,1
"178","0mixBkW4sOoCRQzASbJVKA",NA,"black rice crab rock shrimp calamari","food",58,4,6
"179","0mpgclccLI_E2ah1iLWyYQ",NA,"pan fried iberico pork dumpling","food",31,4,5
"180","0mwDgLZ8aorexqHoE6G8Rg",NA,"pork banh benedict","food",21,3.5,3
"181","0nBCuZmxaypwp3iguuX9-A",NA,"roll","food",20,4,1
"182","0nWy2F2xfApbM0Aqk3Bz5w",NA,"charcoal egg yolk bun","food",32,3,4
"183","0n_73NytncOqtyL0UkQHTA",NA,"chocolate white hazelnut mousse rice vanilla ice cream","food",117,4,8
"184","0o-6s4elvRBGJHvxewPA_Q",NA,"flavor pork vegetable spicy","food",113,4,4
"185","0o5LYPQGsfb-ywztIlZXmg",NA,"fish sandwich special road","food",106,3.5,4
"186","0oU0e-6_QVJXlYVoc_-uvA",NA,"croissant breakfast sandwich side fresh fruit","food",56,4,6
"187","0onnr7RDic3Ad_dzWROM1Q",NA,"pork belly bao","food",42,4.5,3
"188","0oqpp_MFILYZg4LhU0TovA",NA,"cod sandwich chicken wing fry plu","food",67,4,6
"189","0oyBcpRzC5fa4ljD1guoqg",NA,"piece sashimi roll chirashi","food",58,3.5,4
"190","0p5LgwMNE4bwlLkhNycAMA",NA,"roll","food",32,3.5,1
"191","0p5Onq85OW3SYcqi6MBTvg",NA,"sizzling shrimp scampi","food",22,4.5,3
"192","0pXAWgWZb4ki4wE2Ca46qQ",NA,"beef","food",11,3.5,1
"193","0pmBJo7qpLilpXi_fSJJDg",NA,"egg stuff breakfast potato thick chip","food",105,4,6
"194","0psRgSdcXVECJ7AeMV-PQQ",NA,"steamed shrimp dumpling","food",34,3,3
"195","0qCRWdAoKZrcmGy0dytO7A",NA,"crab leg shrimp","food",26,3,3
"196","0qQjizGZ8wZZ4NlP-gygWA",NA,"braised short rib gnocchi served cabbage salad tomato honey","food",101,4.5,9
"197","0qawdbNSThyPQ3XUxxieBQ",NA,"egg benedict","food",13,4,2
"198","0qkD-4h_9Y9HcPkC3tcLMw",NA,"kale salad chicken","food",29,4.5,3
"199","0rMcYh_Hvxe4SsP6XB5W6w",NA,"style italian beef sausage sandwich sliced roll","food",125,4.5,7
"200","0rYcTM7UjNgLjp0nXrEhPg",NA,"salad","food",14,4.5,1
"201","0rZ7k5ywRXY7LOdefETahQ",NA,"pork toro korean kalbi","food",30,4.5,4
"202","0rhjPFmcf6B0MVvRzwjpjQ",NA,"greek salad","food",11,4.5,2
"203","0sbwI5yW-4sUQo_hzlW5yg",NA,"strawberry vanilla crepe breakfast","food",36,2,4
"204","0sm_tb2NKdF0vBM1FQDLjQ",NA,"tortilla egg crispy bone marrow","food",67,4,5
"205","0soP3-iXdEpQwGy3upsxyw",NA,"shrimp vegetable","food",40,4,2
"206","0t0lu7cKEuXO7HXOx5VNww",NA,"chocolate cake fried oreo vanilla ice cream topped sauce","food",98,4,9
"207","0tD0WV-wkCaq7Vv02QszEg",NA,"pork tenderloin sandwich","food",32,3.5,3
"208","0tWKKnoaLc8NozcVURExDA",NA,"roast chopped pork","food",18,3.5,3
"209","0ttL9E7jNYkryn0B_FAR2Q",NA,"shrimp","food",14,3,1
"210","0ttpx94BbqcZ9_B343BNfA",NA,"corned beef hash","food",16,4,3
"211","0uOIYmQhBveBP1KwmV5svA",NA,"roasted pork belly taco sauce","food",43,4.5,5
"212","0uwcnwVDxRbtXED2hVv20w",NA,"shrimp dumpling","food",16,2.5,2
"213","0viiAbWE_b62zXw7Qyiceg",NA,"bbq combination duck pork","food",40,3,4
"214","0vku_T5hshKxKTprVql4TA",NA,"bacon wrapped pork","food",28,4,3
"215","0yTLQe9moSmoZJMKmHL7MA",NA,"salad sun burger beef true","food",122,4,5
"216","0yUF1FsCcizLHKkSoCOr9w",NA,"pork chili benedict","food",25,4.5,3
"217","0ysdws8GSoiOT5AdALjnew",NA,"pineapple fried rice","food",20,4.5,3
"218","0z-WStnSLvj4VFWABGh45Q",NA,"corn salad","food",10,4.5,2
"219","0zQchRu9TQG9PYlciIiI9g",NA,"craftkitchen gluten free oatmeal chocolate chip cookie","food",73,4,7
"220","0zkeBcXR71Zuf3o11Y5m8A",NA,"sweet egg","food",9,4.5,2
"221","1-FiE9j3_7V21iQE1iF_KA",NA,"pork cake dog ground","food",53,3.5,4
"222","10JchBAxf_CLe08uonDmoA",NA,"mediterranean chicken salad","food",27,4,3
"223","10W0K9oMCd1u5xjNg9YIzw",NA,"salmon macaroni salad coleslaw","food",36,3.5,4
"224","10Y_KQ5xxhSMKfrJ8O89cw",NA,"soft crispy crab roll","food",32,4,4
"225","11wd9e1gia-0w8aSWsMCFA",NA,"bacon wrapped shrimp","food",40,4.5,3
"226","13pI-1En7bEaghyweuGGWQ",NA,"shredded beef breakfast arepa","food",61,4.5,4
"227","13rVMl_PG2EjUhSrfZ4nvA",NA,"salad","food",37,4,1
"228","1438GAW05aKkZipKfypm8Q",NA,"salad","food",19,4,1
"229","1481Jge6DAHRxyralNFW3g",NA,"deliciou cake chocolate filling sweet perfect","food",125,4.5,6
"230","14Op6nyC4tQIzzSWle6OMw",NA,"shrimp tempura gyoza","food",24,3,3
"231","14cQLTY0Kw0rL49jv1fJgQ",NA,"fried minced shrimp ball","food",56,3.5,4
"232","14kUMWecQLheFfEfaad65w",NA,"roll garden pink blue spicy dragon","food",126,4,6
"233","14q-qRklF3LUzFmcBrnT9Q",NA,"breakfast","food",18,4.5,1
"234","14vsBIz6ZTzs9ytxMuADfw",NA,"fresh bread pastum soup salad","food",36,2.5,5
"235","15f0LwLMlIZYm_FZ-M6qUQ",NA,"plate roll","food",14,3.5,2
"236","15q8Yg7PISk2F66b0xx5Lg",NA,"tart chocolate haupium guava","food",54,4,4
"237","16CzH231VUZTpDHvKA9e6w",NA,"dish popcorn lobster roll","food",52,4.5,4
"238","16SUdG161HluFwQcVEDd-Q",NA,"cajun popcorn shrimp","food",21,4,3
"239","175clixRa-PYwpAzvIPsVQ",NA,"balsamic chicken salad","food",22,4,3
"240","17EiP7CPHtGawbIoBZeMtA",NA,"chicken rice","food",22,3.5,2
"241","181sxQP-U0iCRit_L9kzTQ",NA,"fresh roll","food",18,4.5,2
"242","18E566eHg5-0NyCBz7NQZQ",NA,"buttermilk biscuit honey glazed bacon turkey pork sweet potato","food",107,4,9
"243","18rzlwB4ln3E1OVj_4XCmQ",NA,"pork rib mushroom wrapped bacon","food",67,4.5,5
"244","18vA8XndWXIW9kWpIaVs_w",NA,"pork dumpling topped shrimp crab roe","food",59,3.5,6
"245","19BKZY2cW0nFBx2G17_URA",NA,"sandwich","food",15,4,1
"246","19_yHe41_AucGxzT5M6KLA",NA,"sashimi salad ye","food",46,4,3
"247","1AO0H_llBL3pvBZGJGQvcg",NA,"pork rind mexican","food",104,4,3
"248","1BMdUOHXzDhL5viQUdVS-A",NA,"chef roll","food",22,3,2
"249","1BRt2PLDi0-xvo65X-M2EQ",NA,"chicken salad","food",31,3.5,2
"250","1BdzAFqev8SVSeZe_Q38Sw",NA,"chicken salad","food",13,4,2
"251","1BkqmdHXSwRui-8syQ4zBQ",NA,"turf roll","food",18,4,2
"252","1C-Mp8bmZBqmIGtpum6jBw",NA,"chopped brisket sandwich pulled pork plate","food",56,5,6
"253","1CwflQdLbB_BZoac89ctXg",NA,"thick soup pork potato cabbage leafe seed garlic","food",136,3.5,8
"254","1D53JOLN_pPn9tmStXLknQ",NA,"hot chocolate","food",13,4.5,2
"255","1DFD1LLxWttSenZ8T51l7A",NA,"love pork belly sandwich","food",28,4,4
"256","1E8XLwwDz4fiwEBe-9fsaQ",NA,"fiestum salad","food",12,3,2
"257","1EWiGUd2iA3IgzxlWuyOLQ",NA,"rock shrimp","food",27,4,2
"258","1FKjfgeiWuTpIEqtYqk40w",NA,"omelette sandwich","food",24,4,2
"259","1GBtmLI5rYtW4JMkOWZ7Vw",NA,"roll","food",11,4.5,1
"260","1HpxkHug28HHaC-4pM3HUA",NA,"classic shrimp alfredo","food",31,2.5,3
"261","1I1sGtDnMnt3d93M-pgNsA",NA,"pork katsu curry","food",24,3,3
"262","1J9-yzzuloqvOFecxcwsiA",NA,"hummu beef","food",80,3.5,2
"263","1JNimRXoTMhubreOg0-8oQ",NA,"pick cooky flavor ice cream deliciou sandwich","food",115,4.5,7
"264","1JTS25NAZXurHo6-jeXfsA",NA,"sausage egg cheese croissant","food",32,4,4
"265","1Kjzj5KgDnBCk-6gO4q-ig",NA,"lemongrass shrimp tomato fried rice","food",38,4,5
"266","1LD0l-9szbR6Uq6WwFdEKQ",NA,"noodle salad","food",20,4.5,2
"267","1Lg_6LvqWkgbU_V_IXnHTg",NA,"chinese chicken salad","food",25,4,3
"268","1M5kWBPmPTrvPTjBfFCQjw",NA,"maple pecan pork sweet potato","food",45,3.5,5
"269","1MY4hfIz2W2-TwU6JMVzFg",NA,"breakfast","food",37,3.5,1
"270","1MZPZ5Mob348t0FIhV0HOA",NA,"scallop roll","food",12,3.5,2
"271","1MitwqhLX83ln28uTmWDrA",NA,"rock shrimp","food",11,4.5,2
"272","1N7fg7tVunp7uie6bfaIng",NA,"french chocolate dipped coconut macaroon","food",67,4.5,5
"273","1NCM8kCYALRkdg9Xe54VJA",NA,"pork","food",4,3.5,1
"274","1NQrp3V5Eliawyu4vJqtxA",NA,"shrimp butter lettuce tomato aioli","food",64,4,5
"275","1ORamb8yMp4LopeDMzzkxQ",NA,"beet salad tofu","food",27,4,3
"276","1OplknbQEmfTdd5l4wYzRw",NA,"breakfast lunch","food",46,4,2
"277","1Oxyt4uC7bedF6vpeKh7zQ",NA,"turkey pastrami sandwich fry","food",34,4,4
"278","1P4Gv2efzVyZB79A5oLTrQ",NA,"small salad grilled chicken","food",32,4,4
"279","1Pi5rzQBNCdDPYpiu3gIeA",NA,"shrimp","food",16,4.5,1
"280","1PoLA9CvUWKKqwTPWNZbZQ",NA,"double chocolate cookie muffin","food",78,4,4
"281","1Q4Ym24btCUAaTrf-lTRgA",NA,"bacon egg cheese","food",35,4,3
"282","1QUMHos0oOI4evvXrSSLtw",NA,"artisan grilled chicken sandwich extra meal","food",60,2,6
"283","1QplXhyTxfYV70Tq694HyA",NA,"carson pork tenderloin pretzel infused maple","food",69,4.5,6
"284","1SBJIJl1qdaneXgPCXqJeg",NA,"bacon egg cheese sandwich bagel","food",51,3.5,5
"285","1SRIKmg6_zgi4yn-Kere-Q",NA,"chopped salad portion","food",28,2.5,3
