photo_id,business_id,caption,label,length,stars,len_word
077_zs_ZuopFvOrg8TTWjw,GI-CAiZ_Gg3h21PwrANB4Q,cream warm butter cake,food,48.0,4.5,4.0
07A5uSwHuVzZo_2gGKfHHg,J4CATH00YZrq8Bne2S4_cw,beef sashimi pork belly appetizer yummy,food,50.0,4.0,6.0
07A5uSwHuVzZo_2gGKfHHg,J4CATH00YZrq8Bne2S4_cw,beef sashimi pork belly appetizer yummy,food,50.0,4.0,6.0
07D2tFemfdudLDq8yJ3GEg,sZIVzaaEBp_HiYutZ2lWag,purple potato red chocolate chip monster cookie,food,84.0,4.5,7.0
07r8ORRUEbDyQcYjhf8EeQ,WNQbi94089WL3UcOj5OQ8w,vanilla plu chocolate almond,food,60.0,4.5,4.0
080HSPBmwqt7bkMKJT294g,nYzCr8fcJ2ci4aiB1-hB6w,tasty sandwich,food,35.0,4.0,2.0
-082fk22b2Bp8sReYWVpyQ,33Tr0eRki1Yamzleu4GMdw,french cinnamon roll,food,47.0,4.5,3.0
089VKFNMjwk7a9km0Hd8gg,z8H4Mdzl4jS9pYswj6Jf9w,spiced apple tart almond ginger gelato caramelized white chocolate,food,87.0,3.5,9.0
08eJSFvTCSBDiOPigFdinQ,6Vyp-9i1jzwK_bvisuPJpQ,chowder fry lobster roll,food,30.0,3.5,4.0
08FJb6ISkzzK2Dud1GSrAw,SeNOJ2zYHziptxLuiRINLg,shrimp stuffed,food,40.0,4.0,2.0
08nBi6jColn3JZannsS4rQ,52yWGkwnrQXIjvuMjYxsiA,bbq chicken sandwich,food,20.0,5.0,3.0
08WkK8WgT28D2UEshhObvA,CRVtzesMuwHK-phmS_ojaA,greek salad,food,15.0,4.0,2.0
08WmgMn4gSBGR-t7A20MOQ,U0UnBjz9DugW2qRZputKBg,cake,food,11.0,4.0,1.0
_08YsAFcPKjLcAoWB-CiKg,qjTPOOiUMZEhOBshHAXpQg,baked egg spinach sunday brunch,food,37.0,3.5,5.0
094jWUHY5ZnNnYh6fiO_1g,BjH8Xepc10i6OhCDQdX6og,grilled egg,food,34.0,3.5,2.0
09IBYP8kA8h-iBcCyldMuA,uWECX6-Uq9n8v5ipk9R29A,shrimp orlean french bread sandwich little,food,127.0,4.0,6.0
09IBYP8kA8h-iBcCyldMuA,uWECX6-Uq9n8v5ipk9R29A,shrimp orlean french bread sandwich little,food,127.0,4.0,6.0
09vgc4VZdacHEgJRGgbSzw,EwGXv_d6zAgkVPuXRI2A8A,chorizo hash egg,food,45.0,3.5,3.0
09WxHQPfxJn3ruMxXOX4WQ,SJbXs2aVMhFawgjCcbH8aQ,fetum berry salad,food,16.0,4.5,3.0
0AuP1rwvqbblOAWrmZnUIQ,8jHLEXfoy3Q9TdvJYvtWvg,salad,food,5.0,3.0,1.0
0BlMTHo_pTRi6vSXCzyKzQ,VLDFjeqpUgWhnVuB_8GuEg,organic kale salad,food,25.0,4.0,3.0
0bUFjrNl4w1V9Z2M1TUTVQ,SBNucLXc9dQP6VBj__XOmQ,shrimp scallop,food,26.0,4.0,2.0
0C8hlnLk4GWKF8CwVMxh2Q,JPfi__QJAaRzmfh5aOyFEw,beef pancake steamed dumpling,food,46.0,4.5,4.0
0Cd4-bMud-B21XK0ml91vA,nUpz0YiBsOK7ff9k3vUJ3A,cake italian,food,37.0,4.0,2.0
0cJ7VBx4BSQXW20N-qjhcw,N0CoaG3cBrTGm2ecLYSzqA,rice vermicelli curry,food,46.0,4.5,3.0
0CkPVxBXWQ1ABmwd0WR0MQ,VasgFCcYS8JUIdqb5KsPAQ,crunchy shrimp roll tempura,food,46.0,4.0,4.0
0CkPVxBXWQ1ABmwd0WR0MQ,VasgFCcYS8JUIdqb5KsPAQ,crunchy shrimp roll tempura,food,46.0,4.0,4.0
-0cLSwqBZH9tGCbAf9D44w,Hv3iuAYsoF2FjH0ND9rIKg,raspberry mango cake,food,90.0,4.0,3.0
0d9RXYm_ogeI_ip1mptJeA,eoHdUeQDNgQ6WYEnP2aiRw,chocolate piece,food,56.0,3.0,2.0
0dc-gocAubRJMkfHROFHag,nTMZSvPMSIofI5RLARFIaA,torched red snapper unagi shrimp,food,50.0,4.0,5.0
0dEWN07WhuxvHjT-uY3Opw,uAAWlLdsoUf872F1FKiX1A,egg waffle tea ice cream,food,51.0,4.0,5.0
0dGCQWywnbG4lpeY17PE8g,igHYkXZMLAc9UdV5VnR_AA,asparagu fried egg,food,23.0,4.5,3.0
0dgrMgGbSvgPY1vdz1mlig,OBvPj3NiXxt47fjsQ0edsQ,tenderloin sandwich,food,19.0,3.0,2.0
0DLWzbR2aImVT3kCEFgTgA,ARH8diyhBtiSgRR4_7oxmg,egg benedict,food,14.0,3.5,2.0
0dWsXGhcY_7vUBKotPkxzg,HhVmDybpU7L50Kb5A0jXTg,big burger caesar salad,food,54.0,3.5,4.0
0dxCP75dwJozDmhlVKeVsw,t_1myTZfYeEQ07Jr8JEF5Q,chocolate orange topping cake,food,46.0,4.0,4.0
0dxCP75dwJozDmhlVKeVsw,t_1myTZfYeEQ07Jr8JEF5Q,chocolate orange topping cake,food,46.0,4.0,4.0
0DyegxWN0pdIaBjEV6wmZQ,CVKOPzBVOj3_apFUmZ9ZWw,shrimp chip fish curry mango sauce,food,79.0,4.0,6.0
0dytDeFAlh3BXlIzWS6vTw,OETh78qcgDltvHULowwhJg,sea beef wellington lobster tail,food,68.0,4.0,5.0
0e95mE6Mx4-Y-wnI7kIGcA,fT6Uwl6abRQfiNgxre_qbg,crunchy roll,food,13.0,4.0,2.0
-0eje89y-_EACmitfJxBmQ,LPCFfrQow0kl7EABuM7VDA,combo sushi roll,food,26.0,3.5,3.0
0el0eIBgfX5zO8kcCsaBHQ,Aqy2wQmWH1YkiCaQeqG1jg,cheese charcuterie crab cake dinner,food,139.0,3.5,5.0
0_eSe2rh95vi0T0Jc0KZ7w,3RlylOY452bA8rwliPUeUQ,beef pear,food,21.0,3.0,2.0
_0eUlulSosVclLyp_MNc7Q,6dk3H4X0ZztxbG3b5Yij4w,mocha swiss roll,food,16.0,4.0,3.0
0-eUmjM_IztbobWa8krfCQ,fbLYRHIZAt3q839whhaBUg,big chicken salad served extra dressing,food,132.0,3.5,6.0
0fdQx-Gd1qolfrCZZFeH-Q,WuQZ5iesON7NWTDWgwWlbQ,sticky rice meat,food,32.0,3.0,3.0
0FJ8dZnWCMRGNdsgPJTQgg,d_cNeXjuRXceZuL6hQKmBg,chicken shrimp beef,food,34.0,3.5,3.0
0FJ8dZnWCMRGNdsgPJTQgg,d_cNeXjuRXceZuL6hQKmBg,chicken shrimp beef,food,34.0,3.5,3.0
0FxJ03OpULDHkf3QYcLGhA,XH2FCZmsisDc8-oPw_ygHg,banana chocolate hazlenut crepe breakfast,food,41.0,3.0,5.0
0FZXe8_lEeFKvcSEMhIJyw,xhu6bWnhm5dNBw6heW9-dg,roll,food,17.0,4.5,1.0
0g4wg9XC6YYH8Hni0hgFxw,apMG3W6-qpHIuo4ApZy3IA,sesame tuna rice vegetable,food,47.0,4.0,4.0
0g9RDEwqwyUk1GNVUvy_pg,Z0YOHYA6YtW131xULbnMzQ,spam egg rice toast,food,26.0,3.5,4.0
0g9RDEwqwyUk1GNVUvy_pg,Z0YOHYA6YtW131xULbnMzQ,spam egg rice toast,food,26.0,3.5,4.0
0Gf8M3I4b-Z34kwnlqdWPw,_4qndNOqaB-dDIPCI2MkCg,roll sweet chili sauce,food,35.0,4.0,4.0
0gMCpS8PiPEnTPlbF8N-DQ,NQBhCRbFKQOfyAY8kRYP8g,sandwich smoked salmon,food,37.0,4.5,3.0
0GSeQtVDEVvCPa5obzy-Mg,l_GV0hgEoTUf70uJVT0_hg,small potato salad,food,24.0,4.0,3.0
0H2ib2HkuqgVfN7VxVd3Og,77h11eWv6HKJAgojLx8G4w,bacon avocado sandwich,food,33.0,4.0,3.0
0H7afo41pR6uPGldeOj6pA,wxL9wgxLeuMMfI6SAXIzJw,egg crab cake classic breakfast,food,66.0,4.0,5.0
0H7afo41pR6uPGldeOj6pA,wxL9wgxLeuMMfI6SAXIzJw,egg crab cake classic breakfast,food,66.0,4.0,5.0
0_hcoUAQe1Cq3x6iK_4Hzw,CV0knwCFA-x-8jJHot6Few,chicken salad,food,13.0,4.5,2.0
0HddZO4Rlg3kUPrztYt6HQ,B41kSVjdFOwOrZTuJaTF7g,mixed beef hot sauce plu,food,83.0,3.0,5.0
0hGjC8pGOEx7qBgLCW5NDA,g-ZseseezHTpF5eMfLrLgQ,mango crepe roll,food,16.0,4.5,3.0
0hJPFrSq8Sh-I-KSVZLN-w,1YQaI6yyWa8jSzP0jJX0tw,turkey sandwich medium little leg,food,79.0,3.5,5.0
0hkomObOUJTfAmqumzM6gQ,CRLvROAjgX-aKI7VIfPLFg,mediterranean chicken salad,food,27.0,4.0,3.0
0HKTF6ghED2FJepPQehrnw,irwDkp2eMP2x-4MfunRt8g,mixed salad,food,17.0,3.0,2.0
0HRzZ56b_wZJfmYxqhGAMA,7fxebHYUwIF6CakxSr70iQ,spaghetti spicy clam shrimp lobster crab calamari,food,96.0,3.5,7.0
0HV3cvwUqsSu6gSufvRLWQ,SeNOJ2zYHziptxLuiRINLg,treat chocolate,food,38.0,4.0,2.0
0hYzlcmDApLCZ0C6odxOuQ,6fPQJq4f_yiq1NHn0fd11Q,spinach artichoke ham cheese strawberry lemon banana chocolate crepe,food,76.0,3.5,9.0
0hZd5DRVr_9qBUOPwB0tqg,DLJCwHGtbAV31UQ1lnIjlw,brunch egg benedict,food,21.0,3.5,3.0
0HZ_Y3Qlb-Zedtt28Fio0A,FYa3GUro-ezTM9zvKiocFw,plate rice,food,22.0,4.5,2.0
0IK1NnAEmGOj4_1oyDyH7A,5P73h8f_5q-00YIIkUX4WA,scallop shrimp,food,22.0,3.5,2.0
0ISko3tRyqt_tlNpKeThoQ,vl2IZrNJEA8npSjqXbdwxw,scrambled egg sausage cheese onion,food,83.0,4.0,5.0
0iX41EEA7t9KYmoI7Wk7aA,iZMdwe0xebE3rF0x3LOr4w,roll crab pork belly bao bun,food,67.0,4.5,6.0
0iX41EEA7t9KYmoI7Wk7aA,iZMdwe0xebE3rF0x3LOr4w,roll crab pork belly bao bun,food,67.0,4.5,6.0
0IXVQKdEHsYEHH_aMQ-84g,ELxoOY2F-1jSb8mqyN7Zbg,chicken salad fresh dressing,food,68.0,4.0,4.0
0iYqf4h8rCRvewcl9Ig0GA,k8BqCejnaMlw7aoVthvqyw,cannoli crispy pastry orange cream filling chocolate chip classic,food,134.0,4.0,9.0
0J2IjeY5ThZLvwv3_xGuBQ,H8umkLwMkM0vP5B8oPiozQ,chicken pesto sandwich homemade chip,food,43.0,3.0,5.0
0JAUNPsMfe-M0IoOpZqTGA,p9v9Sl2g_ibaajWvO0NjkQ,sandwich fry,food,23.0,3.5,2.0
0JD9IDDUMFJBJ8aYK80GCQ,F_oPMHJrH42R67xp5eKtQA,soft tofu beef kimchi stew plu dish,food,49.0,4.0,7.0
0jfktN7W9RYrHZllr_S3cg,QCCVxVRt1amqv0AaEWSKkg,chopped salad,food,13.0,4.5,2.0
0k2HgFR7FdOxgl0tBGHJng,k2b3niokS_tosjah_rzCPw,pizza chocolate fudge cake,food,48.0,3.5,4.0
0k2HgFR7FdOxgl0tBGHJng,k2b3niokS_tosjah_rzCPw,pizza chocolate fudge cake,food,48.0,3.5,4.0
0k6HuyNNF3NjMUEcOJzwew,N7yuiiu8jhQ-Fl9Npflreg,shrimp pork dumpling bun,food,41.0,3.5,4.0
0k6HuyNNF3NjMUEcOJzwew,N7yuiiu8jhQ-Fl9Npflreg,shrimp pork dumpling bun,food,41.0,3.5,4.0
0KbrUUFbJZLP2uT3d9FXbA,WOj8nPos3R9IIf0Pyttd8g,egg benedict fried tomato sausage,food,75.0,4.0,5.0
0_K-f9iffTrFZdIsOdDLgg,LBHbyID7tcaGszznHtnCrw,chocolate souffle cake,food,79.0,3.5,3.0
0_K-f9iffTrFZdIsOdDLgg,LBHbyID7tcaGszznHtnCrw,chocolate souffle cake,food,79.0,3.5,3.0
0kgStQCz0zNp05gQfppmBw,iCjZlOs3qL1_HhAQBW9smg,roll,food,43.0,4.5,1.0
0L1oaGKSS8DBDGWy4-6qaA,kpZ2vPjkHfee4pCLC05tfg,bolognese house egg traditional pea,food,115.0,3.5,5.0
0L2dOBTjEJjIj8RCzWUGtQ,B-RRgQO92Q6iWfGivlnY1A,spicy pork dish,food,38.0,3.5,3.0
0l9g6eCBTBYVe8VURWzuWA,ZosrzTfiiPhbURA04AQTUA,carrot cake french toast,food,33.0,3.0,4.0
0lbbjmwhj2L_DgHa8HDceA,VeYLpoglt8XepYdN2PjSmA,crispy beef special,food,25.0,3.5,3.0
0LcTVf8lHfnXFcI54nAYbA,aD0EslPREWGDlSpD0RMlEg,pork,food,12.0,4.0,1.0
0lFmNUcWKpbZqUe4trxT5Q,9xAQPtjOf92wLjMHPWYEpA,dark chocolate mousse torte raspberry couli,food,63.0,4.5,6.0
0lIe-5PXlJ7_Vo-lLvmf1w,Gh-qmVwvibLnNdqEZXcQHw,chocolate cherry,food,28.0,3.5,2.0
0m39bgxIu-4J0IhojI0tKg,EXF-imcOSptiuzlirPjljA,rice,food,12.0,4.5,1.0
0mixBkW4sOoCRQzASbJVKA,_w5hBpkjHs5_Hv3pLeHtIw,black rice crab rock shrimp calamari,food,58.0,4.0,6.0
0mixBkW4sOoCRQzASbJVKA,_w5hBpkjHs5_Hv3pLeHtIw,black rice crab rock shrimp calamari,food,58.0,4.0,6.0
0mpgclccLI_E2ah1iLWyYQ,NYoSzQnJX2vBOT2278UcMA,pan fried iberico pork dumpling,food,31.0,4.0,5.0
0MqCuD1BxV0JT5kxXxeIyg,O_cvS8uAocco3R3Pg9np-g,style papaya salad spice flavor tongue,food,103.0,4.0,6.0
0Mv7980uGKgkpFUCR4OnPQ,exs56JDSWmPWQ3dQOdjHag,veggie dragon roll vegetarian,food,98.0,4.0,4.0
0mwDgLZ8aorexqHoE6G8Rg,UxWH8zRYIBgs6Q2oykvRdw,pork banh benedict,food,21.0,3.5,3.0
0My_k-jqst_adeSRvzH2Ew,77h11eWv6HKJAgojLx8G4w,sausage egg cheese,food,21.0,4.0,3.0
0n_73NytncOqtyL0UkQHTA,EZQESVzkOPs7LwCHVC3Szg,chocolate white hazelnut mousse rice vanilla ice cream,food,117.0,4.0,8.0
0n_73NytncOqtyL0UkQHTA,EZQESVzkOPs7LwCHVC3Szg,chocolate white hazelnut mousse rice vanilla ice cream,food,117.0,4.0,8.0
0nBCuZmxaypwp3iguuX9-A,4FEb2SzmU_l7SCQAbvW5Hg,roll,food,20.0,4.0,1.0
0nWy2F2xfApbM0Aqk3Bz5w,eNFubUPJR7yIQah-NxZN_g,charcoal egg yolk bun,food,32.0,3.0,4.0
0o5LYPQGsfb-ywztIlZXmg,qfOSFYfT23CIya1KmD7EGw,fish sandwich special road,food,106.0,3.5,4.0
0O5UY-eiJtboIDK5BNQ-vg,iB1iGtTgr3fucKrT9yxinw,pork tenderloin,food,15.0,4.0,2.0
0o-6s4elvRBGJHvxewPA_Q,-ed0Yc9on37RoIoG2ZgxBA,flavor pork vegetable spicy,food,113.0,4.0,4.0
0Oe4vLRCNfy21zYcOZbIbw,4Azs1HUqi0Nk6s6xB_9jsQ,pork belly bun,food,15.0,3.0,3.0
0OmZgmSCP9LMuukHc5bbZw,77h11eWv6HKJAgojLx8G4w,infamou egg,food,21.0,4.0,2.0
0onnr7RDic3Ad_dzWROM1Q,e3PBfbtXUjMziX6XGsOMoA,pork belly bao,food,42.0,4.5,3.0
0oqpp_MFILYZg4LhU0TovA,hsRjct8UiUHU54B983GmcA,cod sandwich chicken wing fry plu,food,67.0,4.0,6.0
0oU0e-6_QVJXlYVoc_-uvA,9Q0qx2NbjpHYAQm_dBnL9A,croissant breakfast sandwich side fresh fruit,food,56.0,4.0,6.0
0OWIPQJZyptnvsDqKMIw-w,qNYLt8zizn--wEpT1KILfw,corn beef hash,food,14.0,4.5,3.0
0oyBcpRzC5fa4ljD1guoqg,8I5U8OQ06nSxX2y4PPOWzQ,piece sashimi roll chirashi,food,58.0,3.5,4.0
0p5LgwMNE4bwlLkhNycAMA,hRL_qCrcu9UL773su0QabQ,roll,food,32.0,3.5,1.0
0p5Onq85OW3SYcqi6MBTvg,-1m9o3vGRA8IBPNvNqKLmA,sizzling shrimp scampi,food,22.0,4.5,3.0
0PbWWNSNEyjv6MsRNNuTHw,Ly2ShApiomYZwKehwb7eRA,salad,food,12.0,4.5,1.0
0PfHUnTTavpXVXtk_0V62A,3281FKql3HVOzSVxymjJRg,pastor salad,food,15.0,3.5,2.0
0pmBJo7qpLilpXi_fSJJDg,AqfEIxefqdArIWf9YUVAtQ,egg stuff breakfast potato thick chip,food,105.0,4.0,6.0
0PntExvEO3tt-gnHedwQug,P0-zxLhfe9iOgidDG2_O8A,braised pork bone rice noodle,food,29.0,4.0,5.0
0PntExvEO3tt-gnHedwQug,P0-zxLhfe9iOgidDG2_O8A,braised pork bone rice noodle,food,29.0,4.0,5.0
0PpAlEcHWnOMdVH43c_wAg,Qtu-zIwz4TDUu1U7oxCgHg,fat cake,food,19.0,4.0,2.0
0psRgSdcXVECJ7AeMV-PQQ,WuQZ5iesON7NWTDWgwWlbQ,steamed shrimp dumpling,food,34.0,3.0,3.0
0pXAWgWZb4ki4wE2Ca46qQ,BTemGsWxX_R2f0Fo61P1pg,beef,food,11.0,3.5,1.0
0qawdbNSThyPQ3XUxxieBQ,_l3nxDFpmLUMxCQrz1LfBQ,egg benedict,food,13.0,4.0,2.0
0QCfYNLIflTTWMt_a2w-8g,N7yuiiu8jhQ-Fl9Npflreg,beef pad thai,food,13.0,3.5,3.0
0qCRWdAoKZrcmGy0dytO7A,OVTZNSkSfbl3gVB9XQIJfw,crab leg shrimp,food,26.0,3.0,3.0
0QeVgAq5uLmaE9xIZSt_6g,YRyYbOSwvHkZsZOLv98oQg,fresh deliciou sweet tomato salad appetizer lunch portion,food,99.0,4.0,8.0
0qkD-4h_9Y9HcPkC3tcLMw,m506zjQ67j0msTfANwB6RA,kale salad chicken,food,29.0,4.5,3.0
0Ql2R3DoqKvADMGJUM5hYw,16d3BlncEyCTzb0GxXrBXQ,beef shawarma sandwich,food,22.0,5.0,3.0
0Ql2R3DoqKvADMGJUM5hYw,16d3BlncEyCTzb0GxXrBXQ,beef shawarma sandwich,food,22.0,5.0,3.0
0qQjizGZ8wZZ4NlP-gygWA,yBmDNVdEzW1ARUXYlKACIw,braised short rib gnocchi served cabbage salad tomato honey,food,101.0,4.5,9.0
0Qx2TmAYZhVqZFxEKipdWw,dC60NKVSKNMaymlp_5wuyw,home roll cake,food,20.0,4.0,3.0
0Qx2TmAYZhVqZFxEKipdWw,dC60NKVSKNMaymlp_5wuyw,home roll cake,food,20.0,4.0,3.0
0-rBFAYMTvYMiE-YJw0eXg,XZ7eQLjyGXf6y69UT4SGhg,ham egg,food,20.0,4.5,2.0
0rhjPFmcf6B0MVvRzwjpjQ,Q8GBjqGjamI3b2ZaPQNa_Q,greek salad,food,11.0,4.5,2.0
0rMcYh_Hvxe4SsP6XB5W6w,WmLTIN4qzZ8SjpPxsPH27Q,style italian beef sausage sandwich sliced roll,food,125.0,4.5,7.0
0rMcYh_Hvxe4SsP6XB5W6w,WmLTIN4qzZ8SjpPxsPH27Q,style italian beef sausage sandwich sliced roll,food,125.0,4.5,7.0
0rMcYh_Hvxe4SsP6XB5W6w,WmLTIN4qzZ8SjpPxsPH27Q,style italian beef sausage sandwich sliced roll,food,125.0,4.5,7.0
0RnICiqj41c6diriBvUoXA,UkWme3kwg6L9rd4tCNB15w,lunch combo spicy pork,food,28.0,3.5,4.0
0rYcTM7UjNgLjp0nXrEhPg,A4zLP5AyKEEHQr_dWEZKig,salad,food,14.0,4.5,1.0
0rZ7k5ywRXY7LOdefETahQ,hihud--QRriCYZw1zZvW4g,pork toro korean kalbi,food,30.0,4.5,4.0
0saRBTZR-E616i-QhJCO1g,LelAlfuj5oVRF9CQdWLsNQ,friend brunch carrot cake pancake,food,74.0,4.0,5.0
0SBRLHQtNJl1xzMdBwlgSQ,MVBCWXTDtU8C1Qh5mMNSKA,chicken shrimp vegetable,food,35.0,2.5,3.0
0SbVb5cKfZbqYWE8js9Ylg,qE9yIXn2GQb2-4a_qOOKzg,buttermilk crispy chicken sandwich extra meal,food,62.0,1.5,6.0
0ScT8KLx7IDTD87ZsODuyA,BjrKNWhtQkedHw8hP_0Bjg,tasty lemon salmon tiger roll,food,32.0,4.5,5.0
0SgEQqUD4h6U_NUWioKItQ,pB9ZZGJaApSw2PMcOTc8og,californium roll,food,17.0,4.0,2.0
0ShmZE91pNO1NKM9NT59aQ,aNGcHb8rjFFI9nY_fUgImg,rainbow roll,food,12.0,4.0,2.0
0sm_tb2NKdF0vBM1FQDLjQ,ahSFUPojs9X3-1jP-QPb-w,tortilla egg crispy bone marrow,food,67.0,4.0,5.0
0soP3-iXdEpQwGy3upsxyw,yeB98yCeqpZggwc-wmgg7g,shrimp vegetable,food,40.0,4.0,2.0
0SOvSufcPkIGsizDUXOKNA,HYuqGAyy3R-B8CcUTkEfhA,breakfast sandwich bacon fried steak,food,70.0,4.0,5.0
0sWYbGjv8t6nZdlymyefkg,ck3nsmPGhmpk7EYHDM-ZSg,cupcake cake,food,12.0,4.0,2.0
0t0lu7cKEuXO7HXOx5VNww,v4HpZFOU3mvIeuHLRSIi7g,chocolate cake fried oreo vanilla ice cream topped sauce,food,98.0,4.0,9.0
0t0lu7cKEuXO7HXOx5VNww,v4HpZFOU3mvIeuHLRSIi7g,chocolate cake fried oreo vanilla ice cream topped sauce,food,98.0,4.0,9.0
0tD0WV-wkCaq7Vv02QszEg,dQZOCI_IIxrUKPnRa56yog,pork tenderloin sandwich,food,32.0,3.5,3.0
0tD0WV-wkCaq7Vv02QszEg,dQZOCI_IIxrUKPnRa56yog,pork tenderloin sandwich,food,32.0,3.5,3.0
0tDFd63xmxQnfRXxLU--og,7gHdVSAz_Dm1wS1ZImJSiQ,butter cake cookie,food,24.0,4.0,3.0
0THq5lqTiOt2cbckodZHwg,VUbACJQR-_dVwyPYMFSodg,sushi roll platter,food,18.0,4.0,3.0
0ttL9E7jNYkryn0B_FAR2Q,jS3U9iEGnJY7j5oT9iDN7A,shrimp,food,14.0,3.0,1.0
0ttpx94BbqcZ9_B343BNfA,rcaPajgKOJC2vo_l3xa42A,corned beef hash,food,16.0,4.0,3.0
0TukVRcNkwBYjaoRqjU8BA,Qayz6avNEPNS6Q5UThYHCQ,popcorn chicken rice,food,25.0,3.5,3.0
0tWKKnoaLc8NozcVURExDA,TgcjQfl1E9DE-SjDVOUDJQ,roast chopped pork,food,18.0,3.5,3.0
__0U7ldqMZdSJ50FYLMP9w,t5vvlSgoeHF9uY6VkokmSg,vegetable roll egg sweet sour dipping sauce,food,72.0,3.5,7.0
__0U7ldqMZdSJ50FYLMP9w,t5vvlSgoeHF9uY6VkokmSg,vegetable roll egg sweet sour dipping sauce,food,72.0,3.5,7.0
0uOIYmQhBveBP1KwmV5svA,jScBTQtdAt-8RshaiBEHgw,roasted pork belly taco sauce,food,43.0,4.5,5.0
0Uq5yD0gapnE7Ie2QVwdXw,UkWme3kwg6L9rd4tCNB15w,rice chilled tofu iced japanese tea house pick,food,89.0,3.5,8.0
0uwcnwVDxRbtXED2hVv20w,iyPtSR0s6EkvaQFbdJ_jVA,shrimp dumpling,food,16.0,2.5,2.0
0Uyd2LYw1Kg9OVYPOFCElQ,ngjl1kOSXpdP38gZHCGY5Q,special beef,food,45.0,3.5,2.0
0viiAbWE_b62zXw7Qyiceg,nV8mDMin6c964MgjK6JZgg,bbq combination duck pork,food,40.0,3.0,4.0
0vku_T5hshKxKTprVql4TA,j2bx_ctb_ED3zbfSaqhQmQ,bacon wrapped pork,food,28.0,4.0,3.0
0WDCKEwNc-qwVIRt0uLSfg,bGuxRBRKv7i1BKKfGbjxEw,roll salmon,food,62.0,3.5,2.0
0WeLhy4y-jQnHKT7_MwJZA,R-EGIdIgtoFzl--OudANtA,pork noodle soup tea,food,48.0,3.5,4.0
0WEM3KzBtwBq21232FDDwQ,LQFmktF43j2NPncKdNd9mg,pierogy steak egg,food,47.0,4.0,3.0
0WenOS3PnyIhAV6cLpAGcw,siuAD-vFRYAjozc332wq3g,shrimp,food,14.0,4.5,1.0
0WStWnSJ7kxD9n45MeN3Xg,U0UnBjz9DugW2qRZputKBg,bird milk roll condensed chocolate yellow cake,food,55.0,4.0,7.0
0WStWnSJ7kxD9n45MeN3Xg,U0UnBjz9DugW2qRZputKBg,bird milk roll condensed chocolate yellow cake,food,55.0,4.0,7.0
0WStWnSJ7kxD9n45MeN3Xg,U0UnBjz9DugW2qRZputKBg,bird milk roll condensed chocolate yellow cake,food,55.0,4.0,7.0
0_wsuJS90cTvuNeq91gE9A,6kq9oLduJAYkb2WjAb36KA,grilled pork banh,food,23.0,4.5,3.0
0Xgy91qHBGJ0oTIEPlPStw,364hhL5st0LV16UcBHRJ3A,crispy brussel lemon chili rice order,food,120.0,4.5,6.0
